eps (accuracy)
  1.000000e-06
hn (ini.step size)
  1.000000e-07
       A             xsi             g       
  4.000000e-03   1.000000e+00   9.810000e+00
       hc      
  4.222125e-01
      h[m]           x[m]         lambda_1[m/s]  lambda_2[m/s]  lambda_3[m/s]         U[m/s]          B[m]     
  8.130000e-01  -2.217569e+00      3.447238e+00  -2.217569e+00   3.612263e-03      6.166403e-01  -3.856767e-04  
  8.120000e-01  -2.212483e+00      3.449059e+00  -2.212483e+00   3.680368e-03      6.201276e-01  -3.929015e-04  
  8.110000e-01  -2.207395e+00      3.450881e+00  -2.207395e+00   3.749467e-03      6.236172e-01  -4.002298e-04  
  8.100000e-01  -2.202304e+00      3.452704e+00  -2.202304e+00   3.819571e-03      6.271091e-01  -4.076626e-04  
  8.090000e-01  -2.197212e+00      3.454529e+00  -2.197212e+00   3.890691e-03      6.306034e-01  -4.152012e-04  
  8.080000e-01  -2.192118e+00      3.456356e+00  -2.192118e+00   3.962839e-03      6.341000e-01  -4.228466e-04  
  8.070000e-01  -2.187022e+00      3.458185e+00  -2.187022e+00   4.036026e-03      6.375990e-01  -4.306000e-04  
  8.060000e-01  -2.181923e+00      3.460015e+00  -2.181923e+00   4.110266e-03      6.411003e-01  -4.384625e-04  
  8.050000e-01  -2.176823e+00      3.461847e+00  -2.176823e+00   4.185568e-03      6.446040e-01  -4.464355e-04  
  8.040000e-01  -2.171721e+00      3.463680e+00  -2.171721e+00   4.261947e-03      6.481101e-01  -4.545200e-04  
  8.030000e-01  -2.166617e+00      3.465515e+00  -2.166617e+00   4.339413e-03      6.516185e-01  -4.627172e-04  
  8.020000e-01  -2.161511e+00      3.467352e+00  -2.161511e+00   4.417980e-03      6.551294e-01  -4.710284e-04  
  8.010000e-01  -2.156402e+00      3.469191e+00  -2.156402e+00   4.497660e-03      6.586426e-01  -4.794548e-04  
  8.000000e-01  -2.151292e+00      3.471031e+00  -2.151292e+00   4.578465e-03      6.621582e-01  -4.879976e-04  
  7.990000e-01  -2.146180e+00      3.472873e+00  -2.146180e+00   4.660408e-03      6.656762e-01  -4.966581e-04  
  7.980000e-01  -2.141066e+00      3.474717e+00  -2.141066e+00   4.743503e-03      6.691966e-01  -5.054375e-04  
  7.970000e-01  -2.135950e+00      3.476562e+00  -2.135950e+00   4.827762e-03      6.727195e-01  -5.143372e-04  
  7.960000e-01  -2.130832e+00      3.478410e+00  -2.130832e+00   4.913198e-03      6.762447e-01  -5.233583e-04  
  7.950000e-01  -2.125712e+00      3.480259e+00  -2.125712e+00   4.999825e-03      6.797724e-01  -5.325022e-04  
  7.940000e-01  -2.120591e+00      3.482109e+00  -2.120591e+00   5.087657e-03      6.833026e-01  -5.417703e-04  
  7.930000e-01  -2.115467e+00      3.483961e+00  -2.115467e+00   5.176707e-03      6.868351e-01  -5.511638e-04  
  7.920000e-01  -2.110341e+00      3.485816e+00  -2.110341e+00   5.266989e-03      6.903702e-01  -5.606840e-04  
  7.910000e-01  -2.105214e+00      3.487671e+00  -2.105214e+00   5.358516e-03      6.939076e-01  -5.703324e-04  
  7.900000e-01  -2.100084e+00      3.489529e+00  -2.100084e+00   5.451304e-03      6.974476e-01  -5.801103e-04  
  7.890000e-01  -2.094953e+00      3.491388e+00  -2.094953e+00   5.545366e-03      7.009900e-01  -5.900190e-04  
  7.880000e-01  -2.089819e+00      3.493249e+00  -2.089819e+00   5.640716e-03      7.045349e-01  -6.000600e-04  
  7.870000e-01  -2.084684e+00      3.495112e+00  -2.084684e+00   5.737370e-03      7.080823e-01  -6.102346e-04  
  7.860000e-01  -2.079547e+00      3.496977e+00  -2.079547e+00   5.835342e-03      7.116321e-01  -6.205444e-04  
  7.850000e-01  -2.074408e+00      3.498843e+00  -2.074408e+00   5.934647e-03      7.151845e-01  -6.309906e-04  
  7.840000e-01  -2.069267e+00      3.500711e+00  -2.069267e+00   6.035300e-03      7.187394e-01  -6.415748e-04  
